trait_id	file_path	trait_name	n
ukb-b-14679	/local-scratch/data/opengwas/igd/ukb-b-14679/ukb-b-14679.vcf.gz	Sources of admission to hospital (recoded): Transfer within NHS provider	461364
ukb-b-14690	/local-scratch/data/opengwas/igd/ukb-b-14690/ukb-b-14690.vcf.gz	White rice intake	64949
ukb-b-14695	/local-scratch/data/opengwas/igd/ukb-b-14695/ukb-b-14695.vcf.gz	3mm cylindrical power angle (right)	95996
ukb-b-14699	/local-scratch/data/opengwas/igd/ukb-b-14699/ukb-b-14699.vcf.gz	Illnesses of mother: Alzheimer's disease/dementia	423738
ukb-b-14713	/local-scratch/data/opengwas/igd/ukb-b-14713/ukb-b-14713.vcf.gz	Forced vital capacity (FVC), Best measure	345665
ukb-b-14742	/local-scratch/data/opengwas/igd/ukb-b-14742/ukb-b-14742.vcf.gz	Operation code: testicular/scrotal operation	462933
ukb-b-14746	/local-scratch/data/opengwas/igd/ukb-b-14746/ukb-b-14746.vcf.gz	Lobster/crab intake	64938
ukb-b-14753	/local-scratch/data/opengwas/igd/ukb-b-14753/ukb-b-14753.vcf.gz	Diagnoses - main ICD10: T84.0 Mechanical complication of internal joint prosthesis	463010
ukb-b-14757	/local-scratch/data/opengwas/igd/ukb-b-14757/ukb-b-14757.vcf.gz	PCT where patients GP was registered: NORTH STOKE PCT	463010
ukb-b-14765	/local-scratch/data/opengwas/igd/ukb-b-14765/ukb-b-14765.vcf.gz	Diagnoses - main ICD10: D64.9 Anaemia, unspecified	463010
ukb-b-14782	/local-scratch/data/opengwas/igd/ukb-b-14782/ukb-b-14782.vcf.gz	Operation code: wisdom teeth surgery	462933
ukb-b-14796	/local-scratch/data/opengwas/igd/ukb-b-14796/ukb-b-14796.vcf.gz	Non-cancer illness code, self-reported: diverticular disease/diverticulitis	462933
ukb-b-1480	/local-scratch/data/opengwas/igd/ukb-b-1480/ukb-b-1480.vcf.gz	Diagnoses - secondary ICD10: R00.2 Palpitations	463010
ukb-b-14801	/local-scratch/data/opengwas/igd/ukb-b-14801/ukb-b-14801.vcf.gz	Treatment speciality of consultant (recoded): Rheumatology	444199
